Title,Media URL,Pinterest board,Thumbnail,Description,Link
"5 Rabanitos — Chicago, IL","https://fastly.picsum.photos/id/473/800/1200.jpg?hmac=S267_gFR8HG0uOoXARqfwQBRBMjz2xiT2gnba2F2_yQ","loopref/venue",,"Visit 5 Rabanitos in Chicago, IL and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Mexican #Chicago","https://loopref.com/places/venue/?slug=5-rabanitos-chicago"
"Aloha Eats — Chicago, IL","https://fastly.picsum.photos/id/325/800/1200.jpg?hmac=Cxr_rVCVEV8nKZ6D0lkOAcydRumtbif-rUT4aKE_D9Q","loopref/venue",,"Visit Aloha Eats in Chicago, IL and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #Chicago","https://loopref.com/places/venue/?slug=aloha-eats-chicago"
"Amelia's 1931 — Miami, FL","https://fastly.picsum.photos/id/862/800/1200.jpg?hmac=F-N3QZ1PLyYRtNXO8yqBXgFZYjWU1tqBeD7aT58QFW8","loopref/venue",,"Visit Amelia's 1931 in Miami, FL and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #Miami","https://loopref.com/places/venue/?slug=amelias-1931-miami"
"Awash Ethiopian Restaurant — Miami, FL","https://fastly.picsum.photos/id/964/800/1200.jpg?hmac=ZS2iRFgC7-iMBrTiwMt6h2uA3PpvYwPC1nVuhQNVzpE","loopref/venue",,"Visit Awash Ethiopian Restaurant in Miami, FL and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Ethiopian #Miami","https://loopref.com/places/venue/?slug=awash-ethiopian-restaurant-miami"
"Bamonte's — Brooklyn, NY","https://fastly.picsum.photos/id/871/800/1200.jpg?hmac=rmJcQzwz55ZZLgUhmi-AsY9Xv9ck-Q5o5lbQf71mJIY","loopref/venue",,"Visit Bamonte's in Brooklyn, NY and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Italian #Brooklyn","https://loopref.com/places/venue/?slug=bamontes-brooklyn"
"Barney Greengrass — New York, NY","https://fastly.picsum.photos/id/523/800/1200.jpg?hmac=8luVM4nJIhGw_1lWS4saN3uW2qNz8mPSWUGWbJ4gR8Q","loopref/venue",,"Visit Barney Greengrass in New York, NY and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Deli #NewYork","https://loopref.com/places/venue/?slug=barney-greengrass-new-york"
"Barney's Beanery — West Hollywood, CA","https://fastly.picsum.photos/id/91/800/1200.jpg?hmac=T5wac3-PSOwyXY0fymcvjGYSUhJUSD0cXP_HfHegF6Q","loopref/venue",,"Visit Barney's Beanery in West Hollywood, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #WestHollywood","https://loopref.com/places/venue/?slug=barneys-beanery-west-hollywood"
"Barone's Pizzeria — Valley Glen, CA","https://fastly.picsum.photos/id/942/800/1200.jpg?hmac=dZUtjsrukfNXWL4k_dGJrD-ZJ6VMYKvCORtiOR_vNxI","loopref/venue",,"Visit Barone's Pizzeria in Valley Glen, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Pizza #ValleyGlen","https://loopref.com/places/venue/?slug=barones-pizzeria-valley-glen"
"Bay Cities Italian Deli — Santa Monica, CA","https://fastly.picsum.photos/id/64/800/1200.jpg?hmac=bGIgCfblylQqKbiJDXYcu5_DVnDiQU4HgXR7CFRkxW8","loopref/venue",,"Visit Bay Cities Italian Deli in Santa Monica, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Deli #SantaMonica","https://loopref.com/places/venue/?slug=bay-cities-italian-deli-santa-monica"
"Brighton Coffee Shop — Beverly Hills, CA","https://fastly.picsum.photos/id/287/800/1200.jpg?hmac=T1Thay5wdXRYlF7hCR_h3t76EjONDmCkp9zjWmIEi1c","loopref/venue",,"Visit Brighton Coffee Shop in Beverly Hills, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Coffee #BeverlyHills","https://loopref.com/places/venue/?slug=brighton-coffee-shop-beverly-hills"
"Cafe La Trova — Miami, FL","https://fastly.picsum.photos/id/1048/800/1200.jpg?hmac=FGMDJ01WUNojpCnHepBUd7VtmI9wJQ0-G_mtpaLV9wY","loopref/venue",,"Visit Cafe La Trova in Miami, FL and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Cuban #Miami","https://loopref.com/places/venue/?slug=cafe-la-trova-miami"
"Cairo Kebab — Chicago, IL","https://fastly.picsum.photos/id/498/800/1200.jpg?hmac=nE4x3CjhFj5LUKqn-6UpnKXlKIfJV_9D2FyZLNMuZoQ","loopref/venue",,"Visit Cairo Kebab in Chicago, IL and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #Chicago","https://loopref.com/places/venue/?slug=cairo-kebab-chicago"
